Time (EET),Open,High,Low,Close,Volume
2003.05.05 00:00:00,1.60417,1.60765,1.60168,1.60617,156108.1047
2003.05.06 00:00:00,1.60624,1.61876,1.60492,1.61373,158692.2328
2003.05.07 00:00:00,1.61345,1.61624,1.59037,1.59621,154993.1415
2003.05.08 00:00:00,1.59631,1.60793,1.5921,1.60156,158075.5304
2003.05.09 00:00:00,1.60175,1.60954,1.60039,1.604,154494.3965
2003.05.12 00:00:00,1.60572,1.61449,1.60372,1.60909,157358.2388
2003.05.13 00:00:00,1.6091,1.61168,1.60417,1.60905,155762.0794
2003.05.14 00:00:00,1.60954,1.62098,1.60622,1.61759,156445.4108
2003.05.15 00:00:00,1.61765,1.62754,1.61245,1.62132,158016.8301
2003.05.16 00:00:00,1.62102,1.62928,1.61787,1.62277,156781.8177
2003.05.19 00:00:00,1.62582,1.63788,1.62492,1.63306,154133.6251
2003.05.20 00:00:00,1.63318,1.64313,1.63043,1.64185,157114.7259
2003.05.21 00:00:00,1.64208,1.64676,1.63512,1.63634,155076.4017
2003.05.22 00:00:00,1.63649,1.63916,1.6313,1.63488,158802.2692
2003.05.23 00:00:00,1.63454,1.64496,1.63093,1.63602,157404.2408
2003.05.26 00:00:00,1.63231,1.64153,1.63201,1.63734,155906.7297
2003.05.27 00:00:00,1.6373,1.6467,1.63699,1.63801,156264.5647
2003.05.28 00:00:00,1.638,1.64364,1.63084,1.63938,156481.695
2003.05.29 00:00:00,1.63956,1.65457,1.63188,1.65239,156886.5035
2003.05.30 00:00:00,1.65215,1.65482,1.63497,1.63551,157121.975
2003.06.02 00:00:00,1.6304,1.63968,1.62524,1.63734,146664.5122
2003.06.03 00:00:00,1.63742,1.64218,1.6232,1.62808,158352.306
2003.06.04 00:00:00,1.6282,1.63426,1.62723,1.63056,157241.9473
2003.06.05 00:00:00,1.63042,1.66198,1.62834,1.6588,157298.9702
2003.06.06 00:00:00,1.65908,1.67104,1.65433,1.66186,156113.8941
2003.06.09 00:00:00,1.65996,1.66548,1.64266,1.64404,156037.0504
2003.06.10 00:00:00,1.64424,1.65756,1.64127,1.65185,155114.0436
2003.06.11 00:00:00,1.65219,1.66987,1.64933,1.66668,156313.7304
2003.06.12 00:00:00,1.66687,1.6789,1.66504,1.66818,155073.3067
2003.06.13 00:00:00,1.6683,1.67466,1.66328,1.67241,157901.9327
2003.06.16 00:00:00,1.67262,1.68818,1.67081,1.67702,155247.7283
2003.06.17 00:00:00,1.67671,1.69015,1.67544,1.68462,156826.0543
2003.06.18 00:00:00,1.68466,1.68637,1.67511,1.67865,156374.3916
2003.06.19 00:00:00,1.67867,1.68071,1.66869,1.67876,156378.8448
2003.06.20 00:00:00,1.6789,1.68215,1.65821,1.66126,157657.2981
2003.06.23 00:00:00,1.6624,1.66952,1.65545,1.66732,157537.3075
2003.06.24 00:00:00,1.66745,1.67048,1.65884,1.66436,155305.1505
2003.06.25 00:00:00,1.66446,1.67962,1.66077,1.67173,156024.373
2003.06.26 00:00:00,1.67231,1.67445,1.6593,1.66059,158274.9985
2003.06.27 00:00:00,1.66064,1.66318,1.64528,1.64868,155438.6382
2003.06.30 00:00:00,1.64907,1.65692,1.64557,1.65518,156644.6987
2003.07.01 00:00:00,1.65544,1.66511,1.65164,1.66238,157241.4673
2003.07.02 00:00:00,1.66254,1.66691,1.66007,1.66314,156883.3436
2003.07.03 00:00:00,1.66455,1.6742,1.66027,1.66811,155477.9322
2003.07.04 00:00:00,1.66829,1.67171,1.66477,1.66615,159343.7408
2003.07.07 00:00:00,1.66751,1.6677,1.64719,1.64965,155456.8131
2003.07.08 00:00:00,1.6496,1.65026,1.63156,1.63547,155623.0911
2003.07.09 00:00:00,1.63551,1.63802,1.62752,1.63733,153957.3271
2003.07.10 00:00:00,1.63766,1.63883,1.62189,1.63529,158731.2185
2003.07.11 00:00:00,1.63522,1.63828,1.62989,1.63019,157828.1098
2003.07.14 00:00:00,1.63053,1.63094,1.6124,1.61267,156054.4555
2003.07.15 00:00:00,1.61324,1.61465,1.58995,1.59229,157454.4385
2003.07.16 00:00:00,1.59206,1.59635,1.58537,1.59555,155358.4983
2003.07.17 00:00:00,1.59567,1.59918,1.58451,1.59599,155526.0845
2003.07.18 00:00:00,1.59626,1.5982,1.58247,1.58945,155698.5536
2003.07.21 00:00:00,1.58993,1.60233,1.57728,1.60002,154888.3939
2003.07.22 00:00:00,1.60024,1.6049,1.59464,1.59729,152113.5486
2003.07.23 00:00:00,1.59723,1.61005,1.59261,1.60798,155798.6444
2003.07.24 00:00:00,1.60848,1.61599,1.60596,1.61548,156950.3634
2003.07.25 00:00:00,1.61592,1.62363,1.61139,1.62039,156559.7869
2003.07.28 00:00:00,1.61991,1.62897,1.61713,1.62557,157119.1955
2003.07.29 00:00:00,1.6254,1.63104,1.62119,1.62405,156155.9435
2003.07.30 00:00:00,1.62401,1.62522,1.61461,1.61554,157572.5038
2003.07.31 00:00:00,1.61595,1.6172,1.60505,1.60963,155706.4088
2003.08.01 00:00:00,1.60979,1.6125,1.60016,1.60791,148610.7545
2003.08.04 00:00:00,1.6109,1.61511,1.60631,1.61128,155470.0075
2003.08.05 00:00:00,1.61149,1.61612,1.60221,1.61534,155212.9072
2003.08.06 00:00:00,1.61544,1.6187,1.60359,1.60903,155964.0276
2003.08.07 00:00:00,1.60895,1.61905,1.60521,1.61802,156693.0585
2003.08.08 00:00:00,1.61839,1.61885,1.60076,1.60283,155683.7983
2003.08.11 00:00:00,1.60398,1.61025,1.59819,1.6074,180879.5675
2003.08.12 00:00:00,1.60735,1.6094,1.5992,1.60224,179336.4558
2003.08.13 00:00:00,1.60236,1.60971,1.59633,1.60786,185344.4005
2003.08.14 00:00:00,1.60794,1.61368,1.59824,1.6016,177492.8201
2003.08.15 00:00:00,1.60174,1.60426,1.59256,1.5969,180960.8744
2003.08.18 00:00:00,1.5965,1.59859,1.58722,1.59083,179750.1377
2003.08.19 00:00:00,1.59092,1.59147,1.58089,1.58708,174592.914
2003.08.20 00:00:00,1.5877,1.59655,1.58535,1.59405,178317.5553
2003.08.21 00:00:00,1.59401,1.59584,1.57462,1.57832,182088.436
2003.08.22 00:00:00,1.57836,1.57956,1.57014,1.57503,181086.019
2003.08.25 00:00:00,1.57426,1.57917,1.56827,1.57115,175027.2343
2003.08.26 00:00:00,1.57121,1.57468,1.56193,1.5682,183522.7696
2003.08.27 00:00:00,1.56811,1.57506,1.56676,1.57168,180616.6052
2003.08.28 00:00:00,1.57191,1.57863,1.56497,1.57783,180254.81
2003.08.29 00:00:00,1.57783,1.58275,1.57209,1.57752,179646.2155
2003.09.01 00:00:00,1.57758,1.58119,1.56797,1.57079,145277.2133
2003.09.02 00:00:00,1.57065,1.57494,1.56188,1.56715,191688.4532
2003.09.03 00:00:00,1.56728,1.57636,1.56092,1.57083,188553.6077
2003.09.04 00:00:00,1.57081,1.58265,1.56669,1.58229,181455.5567
2003.09.05 00:00:00,1.5824,1.59099,1.57779,1.58794,182162.3023
2003.09.08 00:00:00,1.5887,1.59022,1.58184,1.58278,180417.9318
2003.09.09 00:00:00,1.58286,1.59285,1.57838,1.59053,181135.8388
2003.09.10 00:00:00,1.59092,1.59472,1.58656,1.59187,183431.9695
2003.09.11 00:00:00,1.59209,1.59764,1.58962,1.59531,180428.621
2003.09.12 00:00:00,1.59551,1.60682,1.59083,1.60248,177689.261
2003.09.15 00:00:00,1.60302,1.60769,1.59985,1.60091,177551.5454
2003.09.16 00:00:00,1.60066,1.60564,1.58508,1.58734,184975.2376
2003.09.17 00:00:00,1.58736,1.61006,1.58594,1.60927,180241.9797
2003.09.18 00:00:00,1.6094,1.62149,1.60634,1.61758,182303.1639
2003.09.19 00:00:00,1.61784,1.63761,1.61397,1.63681,178484.8948
2003.09.22 00:00:00,1.64674,1.65503,1.64126,1.64965,191784.0976
2003.09.23 00:00:00,1.64982,1.65876,1.64557,1.65112,179108.0545
2003.09.24 00:00:00,1.651,1.66015,1.64711,1.65935,184209.3735
2003.09.25 00:00:00,1.65936,1.66296,1.65247,1.65899,189797.9875
2003.09.26 00:00:00,1.65909,1.66254,1.65598,1.659,182705.6765
2003.09.29 00:00:00,1.6578,1.66745,1.64493,1.66696,179438.1917
2003.09.30 00:00:00,1.66702,1.67596,1.65868,1.66131,188754.1024
2003.10.01 00:00:00,1.66143,1.66969,1.65312,1.66872,182624.664
2003.10.02 00:00:00,1.66852,1.6751,1.66397,1.6706,186433.4271
2003.10.03 00:00:00,1.6702,1.67367,1.65798,1.66357,177604.6077
2003.10.06 00:00:00,1.66242,1.67582,1.658,1.66938,172990.2378
2003.10.07 00:00:00,1.66944,1.67786,1.66065,1.6625,211030.2599
2003.10.08 00:00:00,1.6626,1.66724,1.65861,1.66255,178887.9771
2003.10.09 00:00:00,1.66247,1.66944,1.65603,1.66628,184461.587
2003.10.10 00:00:00,1.66631,1.67218,1.66031,1.66347,176737.3774
2003.10.13 00:00:00,1.6644,1.66854,1.65355,1.66619,162617.9084
2003.10.14 00:00:00,1.66653,1.67657,1.65372,1.67171,181762.6814
2003.10.15 00:00:00,1.67171,1.67642,1.66369,1.66746,180002.3389
2003.10.16 00:00:00,1.66745,1.68153,1.66542,1.67287,178326.4663
2003.10.17 00:00:00,1.67278,1.67904,1.66767,1.67856,180203.8881
2003.10.20 00:00:00,1.6786,1.6813,1.66997,1.67093,177308.2646
2003.10.21 00:00:00,1.67098,1.67738,1.66847,1.67449,183770.2812
2003.10.22 00:00:00,1.67467,1.69438,1.67286,1.69121,183776.957
2003.10.23 00:00:00,1.69125,1.6968,1.68909,1.69501,184325.0157
2003.10.24 00:00:00,1.695,1.69941,1.69315,1.69477,181568.1067
2003.10.27 00:00:00,1.69499,1.69753,1.69069,1.69431,185862.26
2003.10.28 00:00:00,1.6945,1.69992,1.68768,1.69647,188959.5825
2003.10.29 00:00:00,1.6964,1.70774,1.69532,1.69761,186247.2654
2003.10.30 00:00:00,1.69775,1.70701,1.69462,1.69513,184123.2685
2003.10.31 00:00:00,1.6953,1.69939,1.69055,1.69605,194719.9505
2003.11.03 00:00:00,1.69463,1.69768,1.67541,1.67558,176172.941
2003.11.04 00:00:00,1.67554,1.68449,1.6674,1.67991,185735.0176
2003.11.05 00:00:00,1.67986,1.68721,1.66992,1.67413,190698.2075
2003.11.06 00:00:00,1.6741,1.67834,1.66435,1.66809,186812.4974
2003.11.07 00:00:00,1.66812,1.67648,1.65683,1.67617,184239.8089
2003.11.10 00:00:00,1.67385,1.67567,1.6698,1.67108,175621.0246
2003.11.11 00:00:00,1.67095,1.67119,1.6631,1.66525,185590.8664
2003.11.12 00:00:00,1.6652,1.6785,1.66435,1.67347,188277.8724
2003.11.13 00:00:00,1.67389,1.68867,1.67316,1.68695,185311.8299
2003.11.14 00:00:00,1.68695,1.6911,1.68228,1.68784,189068.9893
2003.11.17 00:00:00,1.68773,1.6939,1.68613,1.69171,185931.258
2003.11.18 00:00:00,1.69173,1.70554,1.68624,1.70428,192713.2505
2003.11.19 00:00:00,1.70351,1.70549,1.69507,1.69686,189586.3044
2003.11.20 00:00:00,1.69707,1.70792,1.69607,1.70428,186566.3771
2003.11.21 00:00:00,1.70459,1.70692,1.69941,1.70465,190417.7263
2003.11.24 00:00:00,1.70473,1.70602,1.69286,1.69652,177221.0481
2003.11.25 00:00:00,1.69665,1.70185,1.69366,1.69861,194642.0801
2003.11.26 00:00:00,1.69862,1.71287,1.69486,1.71197,192817.5479
2003.11.27 00:00:00,1.71199,1.71584,1.70887,1.71345,175130.9034
2003.11.28 00:00:00,1.71374,1.72394,1.71296,1.72168,181002.3301
2003.12.01 00:00:00,1.72027,1.7274,1.71778,1.72059,188670.5798
2003.12.02 00:00:00,1.7199,1.73089,1.71671,1.72955,182290.8697
2003.12.03 00:00:00,1.72942,1.73198,1.72449,1.72798,188249.1088
2003.12.04 00:00:00,1.72833,1.72868,1.71769,1.72167,187419.489
2003.12.05 00:00:00,1.72165,1.73154,1.71928,1.72937,184856.3454
2003.12.08 00:00:00,1.72971,1.7361,1.72667,1.73295,187366.6369
2003.12.09 00:00:00,1.73298,1.74738,1.73272,1.74669,181076.4223
2003.12.10 00:00:00,1.7468,1.74771,1.73502,1.74281,185922.8489
2003.12.11 00:00:00,1.74277,1.74725,1.73735,1.74524,187586.287
2003.12.12 00:00:00,1.74513,1.75086,1.74277,1.74555,182917.4885
2003.12.15 00:00:00,1.73606,1.74802,1.73543,1.7471,182208.4755
2003.12.16 00:00:00,1.74685,1.75598,1.74326,1.7548,187981.656
2003.12.17 00:00:00,1.75491,1.76949,1.74967,1.76653,185484.6198
2003.12.18 00:00:00,1.76673,1.77422,1.76322,1.77378,192411.2848
