Time (EET),Open,High,Low,Close,Volume
2003.05.05 00:00:00,1.60377,1.60751,1.60148,1.60587,136090.674
2003.05.06 00:00:00,1.60584,1.6186,1.60462,1.61343,134184.057
2003.05.07 00:00:00,1.61275,1.6161,1.59017,1.59591,134451.5209
2003.05.08 00:00:00,1.59591,1.60773,1.592,1.60126,133992.227
2003.05.09 00:00:00,1.60135,1.60934,1.60019,1.6037,135567.355
2003.05.12 00:00:00,1.60532,1.61429,1.60362,1.60879,136170.597
2003.05.13 00:00:00,1.6087,1.61148,1.60399,1.60875,135768.024
2003.05.14 00:00:00,1.60884,1.62087,1.60612,1.61729,135070.977
2003.05.15 00:00:00,1.61725,1.62734,1.6123,1.62102,134756.685
2003.05.16 00:00:00,1.62062,1.62908,1.61772,1.62247,134406.186
2003.05.19 00:00:00,1.62542,1.63768,1.62477,1.63276,135533.164
2003.05.20 00:00:00,1.63278,1.64303,1.63033,1.64155,134975.741
2003.05.21 00:00:00,1.64138,1.64641,1.63492,1.63604,134617.02
2003.05.22 00:00:00,1.63609,1.63906,1.63116,1.63458,133934.04
2003.05.23 00:00:00,1.63414,1.64481,1.63073,1.63572,134462.5
2003.05.26 00:00:00,1.63191,1.64139,1.6319,1.63704,134627.427
2003.05.27 00:00:00,1.6369,1.6465,1.63672,1.63771,135960.648
2003.05.28 00:00:00,1.6376,1.64344,1.63074,1.63908,133465.8439
2003.05.29 00:00:00,1.63916,1.65447,1.63175,1.65209,134898.381
2003.05.30 00:00:00,1.65175,1.65455,1.63477,1.63521,136221.549
2003.06.02 00:00:00,1.63,1.63938,1.62504,1.63704,126638.148
2003.06.03 00:00:00,1.63702,1.64208,1.62294,1.62778,134796.733
2003.06.04 00:00:00,1.6278,1.63416,1.62713,1.63026,136947.824
2003.06.05 00:00:00,1.63002,1.66183,1.62814,1.6585,133865.784
2003.06.06 00:00:00,1.65838,1.67084,1.65418,1.66156,135227.18
2003.06.09 00:00:00,1.65956,1.66528,1.64243,1.64374,136420.74
2003.06.10 00:00:00,1.64354,1.65736,1.64117,1.65155,134684.88
2003.06.11 00:00:00,1.65149,1.66977,1.64921,1.66638,135267.48
2003.06.12 00:00:00,1.66617,1.6787,1.66491,1.66788,135079.975
2003.06.13 00:00:00,1.6679,1.67456,1.66308,1.67211,135730.257
2003.06.16 00:00:00,1.67222,1.68792,1.67066,1.67672,136865.707
2003.06.17 00:00:00,1.67631,1.68989,1.67528,1.68432,135474.067
2003.06.18 00:00:00,1.68426,1.68617,1.67491,1.67835,134016.1269
2003.06.19 00:00:00,1.67827,1.68035,1.66849,1.67846,133868.989
2003.06.20 00:00:00,1.6785,1.68195,1.65808,1.66096,134244.467
2003.06.23 00:00:00,1.662,1.6693,1.65535,1.66702,134099.218
2003.06.24 00:00:00,1.66705,1.67038,1.65871,1.66406,135706.477
2003.06.25 00:00:00,1.66406,1.67952,1.66049,1.67143,135382.6999
2003.06.26 00:00:00,1.67161,1.67425,1.65913,1.66029,135104.141
2003.06.27 00:00:00,1.66024,1.66298,1.64505,1.64838,135869.066
2003.06.30 00:00:00,1.64837,1.65676,1.64537,1.65488,135371.04
2003.07.01 00:00:00,1.65504,1.66501,1.65144,1.66208,133292.649
2003.07.02 00:00:00,1.66184,1.66671,1.65997,1.66284,134504.767
2003.07.03 00:00:00,1.66415,1.67394,1.66007,1.66781,134676.718
2003.07.04 00:00:00,1.66759,1.67161,1.66467,1.66585,134423.323
2003.07.07 00:00:00,1.66711,1.66746,1.64707,1.64935,134400.386
2003.07.08 00:00:00,1.6492,1.65006,1.63136,1.63517,133621.892
2003.07.09 00:00:00,1.63511,1.63782,1.62742,1.63703,136946.727
2003.07.10 00:00:00,1.63726,1.63874,1.62169,1.63499,134147.964
2003.07.11 00:00:00,1.63482,1.63803,1.62969,1.62989,133878.9239
2003.07.14 00:00:00,1.63013,1.63074,1.6121,1.61237,136164.927
2003.07.15 00:00:00,1.61254,1.61452,1.58983,1.59199,133882.2999
2003.07.16 00:00:00,1.59166,1.59625,1.58527,1.59525,134579.29
2003.07.17 00:00:00,1.59527,1.59907,1.5844,1.59569,135466.9949
2003.07.18 00:00:00,1.59556,1.59796,1.58237,1.58915,134944.332
2003.07.21 00:00:00,1.58953,1.60223,1.57715,1.59972,136521.554
2003.07.22 00:00:00,1.59954,1.6048,1.59454,1.59699,131572.413
2003.07.23 00:00:00,1.59683,1.6098,1.59241,1.60768,133519.133
2003.07.24 00:00:00,1.60808,1.61579,1.60571,1.61518,133007.07
2003.07.25 00:00:00,1.61552,1.62338,1.61117,1.62009,136375.892
2003.07.28 00:00:00,1.61921,1.62871,1.61697,1.62527,135595.489
2003.07.29 00:00:00,1.625,1.63084,1.62107,1.62375,134507.378
2003.07.30 00:00:00,1.62361,1.62498,1.61451,1.61524,134534.498
2003.07.31 00:00:00,1.61555,1.617,1.60485,1.60933,133828.1219
2003.08.01 00:00:00,1.60939,1.61225,1.60006,1.60761,129063.922
2003.08.04 00:00:00,1.6105,1.61487,1.60621,1.61098,134862.487
2003.08.05 00:00:00,1.61079,1.61592,1.60201,1.61504,134400.0739
2003.08.06 00:00:00,1.61504,1.61852,1.60329,1.60873,134311.904
2003.08.07 00:00:00,1.60855,1.61876,1.60501,1.61772,136396.887
2003.08.08 00:00:00,1.61769,1.61861,1.60057,1.60253,134741.4749
2003.08.11 00:00:00,1.60378,1.61013,1.59799,1.6072,157652.807
2003.08.12 00:00:00,1.60695,1.6092,1.59902,1.60194,156357.6089
2003.08.13 00:00:00,1.60196,1.60951,1.59623,1.60756,162216.906
2003.08.14 00:00:00,1.60754,1.61349,1.59812,1.6013,151984.364
2003.08.15 00:00:00,1.60104,1.60398,1.59237,1.5966,157088.634
2003.08.18 00:00:00,1.5963,1.59839,1.58701,1.59053,153954.751
2003.08.19 00:00:00,1.59072,1.59125,1.58072,1.58678,148956.486
2003.08.20 00:00:00,1.5873,1.59643,1.5851,1.59375,156032.034
2003.08.21 00:00:00,1.59361,1.59565,1.57441,1.57802,159277.007
2003.08.22 00:00:00,1.57796,1.57933,1.57003,1.57473,156656.2698
2003.08.25 00:00:00,1.57356,1.57901,1.56807,1.57085,152000.642
2003.08.26 00:00:00,1.57081,1.57448,1.56169,1.5679,156830.679
2003.08.27 00:00:00,1.56771,1.57491,1.56656,1.57138,157942.194
2003.08.28 00:00:00,1.57121,1.57843,1.56472,1.57753,153399.374
2003.08.29 00:00:00,1.57743,1.58257,1.57199,1.57732,155698.223
2003.09.01 00:00:00,1.57718,1.58103,1.56778,1.57039,128658.176
2003.09.02 00:00:00,1.57025,1.57474,1.56172,1.56685,166142.583
2003.09.03 00:00:00,1.56658,1.57622,1.56062,1.57053,163936.157
2003.09.04 00:00:00,1.57041,1.58245,1.5666,1.58199,157623.993
2003.09.05 00:00:00,1.582,1.59079,1.57759,1.58774,157256.301
2003.09.08 00:00:00,1.5883,1.59009,1.58155,1.58248,155427.0749
2003.09.09 00:00:00,1.58246,1.59272,1.5782,1.59023,156560.5439
2003.09.10 00:00:00,1.59022,1.59447,1.58646,1.59157,155968.701
2003.09.11 00:00:00,1.59139,1.59752,1.58945,1.59501,153810.468
2003.09.12 00:00:00,1.59511,1.60665,1.59068,1.60218,154998.655
2003.09.15 00:00:00,1.60282,1.60749,1.59965,1.60061,154805.949
2003.09.16 00:00:00,1.60026,1.60548,1.58491,1.58714,156827.754
2003.09.17 00:00:00,1.58696,1.60986,1.58582,1.60907,155563.64
2003.09.18 00:00:00,1.609,1.62138,1.60617,1.61728,159957.222
2003.09.19 00:00:00,1.61714,1.63741,1.61382,1.63651,153372.441
2003.09.22 00:00:00,1.64634,1.65485,1.64115,1.64935,163894.917
2003.09.23 00:00:00,1.64912,1.65856,1.64537,1.65082,153007.64
2003.09.24 00:00:00,1.6506,1.65995,1.64698,1.65905,158645.758
2003.09.25 00:00:00,1.65896,1.66276,1.6523,1.65869,162869.176
2003.09.26 00:00:00,1.65869,1.66236,1.65578,1.6587,158572.694
2003.09.29 00:00:00,1.6574,1.66725,1.64478,1.66666,154932.61
2003.09.30 00:00:00,1.66662,1.67576,1.65848,1.66101,163053.495
2003.10.01 00:00:00,1.66103,1.66944,1.65297,1.66842,156257.079
2003.10.02 00:00:00,1.66812,1.67496,1.6635,1.6703,162015.037
2003.10.03 00:00:00,1.6698,1.6735,1.65778,1.66327,153311.359
2003.10.06 00:00:00,1.66222,1.67562,1.65783,1.66908,149959.303
2003.10.07 00:00:00,1.66904,1.67764,1.66055,1.6623,181967.165
2003.10.08 00:00:00,1.6622,1.66702,1.65851,1.66225,156020.711
2003.10.09 00:00:00,1.66207,1.66927,1.65583,1.66598,159330.467
2003.10.10 00:00:00,1.66561,1.67193,1.66011,1.66317,153972.843
2003.10.13 00:00:00,1.664,1.66844,1.65341,1.66589,140015.544
2003.10.14 00:00:00,1.66583,1.67637,1.65361,1.67141,153607.552
2003.10.15 00:00:00,1.67131,1.6763,1.66356,1.66716,154467.735
2003.10.16 00:00:00,1.66705,1.68135,1.66523,1.67257,153804.7119
2003.10.17 00:00:00,1.67238,1.67874,1.6675,1.67826,157374.826
2003.10.20 00:00:00,1.6784,1.68118,1.66974,1.67073,150886.0209
2003.10.21 00:00:00,1.67028,1.67723,1.66826,1.67419,155268.81
2003.10.22 00:00:00,1.67397,1.69422,1.67257,1.69091,158904.63
2003.10.23 00:00:00,1.69085,1.6966,1.68893,1.69471,158202.272
2003.10.24 00:00:00,1.6946,1.69931,1.69299,1.69447,155314.084
2003.10.27 00:00:00,1.69485,1.69746,1.69049,1.69421,161048.644
2003.10.28 00:00:00,1.69445,1.69962,1.68744,1.69637,163005.887
2003.10.29 00:00:00,1.69626,1.70754,1.69521,1.69751,160571.753
2003.10.30 00:00:00,1.69755,1.7069,1.69452,1.69503,158166.181
2003.10.31 00:00:00,1.69516,1.69928,1.69039,1.69595,166877.248
