Time (EET),Open,High,Low,Close,Volume
2021.01.04 00:00:00,1.36584,1.36661,1.36504,1.36636,1456.1947
2021.01.04 01:00:00,1.36624,1.36842,1.36584,1.36816,4524.34
2021.01.04 02:00:00,1.36815,1.36842,1.36603,1.36738,7558.91
2021.01.04 03:00:00,1.36737,1.36906,1.36715,1.36833,8889.24
2021.01.04 04:00:00,1.36833,1.36952,1.36818,1.3693,3914.63
2021.01.04 05:00:00,1.3693,1.36969,1.36905,1.36963,3064.35
2021.01.04 06:00:00,1.36964,1.3699,1.36767,1.36817,4158.32
2021.01.04 07:00:00,1.36819,1.36869,1.36689,1.36839,3427.5
2021.01.04 08:00:00,1.36842,1.36872,1.36744,1.36863,5785.86
2021.01.04 09:00:00,1.3686,1.37038,1.36801,1.36884,7573.97
2021.01.04 10:00:00,1.36885,1.36964,1.36724,1.36917,12609.28
2021.01.04 11:00:00,1.36916,1.36971,1.36649,1.36734,12928.91
2021.01.04 12:00:00,1.36735,1.36973,1.36714,1.36933,9891.46
2021.01.04 13:00:00,1.36934,1.37045,1.36651,1.36706,7946.33
2021.01.04 14:00:00,1.36704,1.36714,1.36461,1.36547,10297.82
2021.01.04 15:00:00,1.3655,1.36575,1.36143,1.36264,14338.7
2021.01.04 16:00:00,1.36264,1.36323,1.36027,1.36083,13397.96
2021.01.04 17:00:00,1.36083,1.36086,1.35619,1.35784,16368.75
2021.01.04 18:00:00,1.3578,1.35962,1.355,1.35508,14528.91
2021.01.04 19:00:00,1.3551,1.35719,1.35423,1.35667,9436.51
2021.01.04 20:00:00,1.35667,1.35692,1.35522,1.35639,6434.21
2021.01.04 21:00:00,1.35638,1.3568,1.35526,1.3567,5291.76
2021.01.04 22:00:00,1.35669,1.3569,1.3552,1.3569,5739.81
2021.01.04 23:00:00,1.35688,1.358,1.35553,1.35755,3736.6682
2021.01.05 00:00:00,1.35755,1.35794,1.35726,1.35782,395.5955
2021.01.05 01:00:00,1.35754,1.35795,1.35641,1.35717,2312.45
2021.01.05 02:00:00,1.35717,1.35776,1.35625,1.35716,4057.65
2021.01.05 03:00:00,1.35716,1.35794,1.35683,1.35702,4431.67
2021.01.05 04:00:00,1.35703,1.35894,1.3568,1.35866,3000.31
